Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Negative_Control_1 Spectral Count	PYROXD1_D500N_1 Spectral Count	PYROXD1_N155S_1 Spectral Count	PYROXD1_Q372H_1 Spectral Count	PYROXD1_R132C_1 Spectral Count	PYROXD1_WT_1 Spectral Count	PYROXD1_Y354C_1 Spectral Count	PYROXD1_dE496_1 Spectral Count	Negative_Control_1 Unique Spectral Count	PYROXD1_D500N_1 Unique Spectral Count	PYROXD1_N155S_1 Unique Spectral Count	PYROXD1_Q372H_1 Unique Spectral Count	PYROXD1_R132C_1 Unique Spectral Count	PYROXD1_WT_1 Unique Spectral Count	PYROXD1_Y354C_1 Unique Spectral Count	PYROXD1_dE496_1 Unique Spectral Count	Negative_Control_1 Total Spectral Count	PYROXD1_D500N_1 Total Spectral Count	PYROXD1_N155S_1 Total Spectral Count	PYROXD1_Q372H_1 Total Spectral Count	PYROXD1_R132C_1 Total Spectral Count	PYROXD1_WT_1 Total Spectral Count	PYROXD1_Y354C_1 Total Spectral Count	PYROXD1_dE496_1 Total Spectral Count	Negative_Control_1 Intensity	PYROXD1_D500N_1 Intensity	PYROXD1_N155S_1 Intensity	PYROXD1_Q372H_1 Intensity	PYROXD1_R132C_1 Intensity	PYROXD1_WT_1 Intensity	PYROXD1_Y354C_1 Intensity	PYROXD1_dE496_1 Intensity	Negative_Control_1 MaxLFQ Intensity	PYROXD1_D500N_1 MaxLFQ Intensity	PYROXD1_N155S_1 MaxLFQ Intensity	PYROXD1_Q372H_1 MaxLFQ Intensity	PYROXD1_R132C_1 MaxLFQ Intensity	PYROXD1_WT_1 MaxLFQ Intensity	PYROXD1_Y354C_1 MaxLFQ Intensity	PYROXD1_dE496_1 MaxLFQ Intensity	Indistinguishable Proteins
sp|P06730|IF4E_HUMAN	P06730	IF4E_HUMAN	EIF4E	217	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 4E	1.0	0.999	8	88	88	88	12	9	10	11	9	14	12	11	12	9	10	11	9	14	12	11	12	9	10	11	9	14	12	11	1389618.6	497698.6	426924.1	909488.44	767050.5	1406174.1	934045.1	1069079.1	403066.0	147240.75	124588.8	266140.84	229335.55	406727.7	269829.56	318523.75	
sp|P06732|KCRM_HUMAN	P06732	KCRM_HUMAN	CKM	381	Homo sapiens	1:Experimental evidence at protein level	Creatine kinase M-type	0.9924	0.999	3	1	1	18	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	3	3	0	3	3	3	38246.383	0.0	0.0	0.0	0.0	55495.586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P06733|ENOA_HUMAN	P06733	ENOA_HUMAN	ENO1	434	Homo sapiens	1:Experimental evidence at protein level	Alpha-enolase	1.0	0.999	35	862	780	862	115	72	86	116	50	125	123	175	102	66	79	105	44	116	111	157	115	72	86	116	50	125	123	175	1.1265842E7	4167906.5	7589175.5	1.1245298E7	2717812.8	1.9185924E7	1.6168664E7	2.8217988E7	1055671.5	417814.56	743249.94	1083957.6	236474.4	1792828.2	1565820.4	2727343.2	
sp|P06737|PYGL_HUMAN	P06737	PYGL_HUMAN	PYGL	847	Homo sapiens	1:Experimental evidence at protein level	Glycogen phosphorylase, liver form	1.0	0.999	15	31	31	45	5	0	1	1	0	7	11	6	5	0	1	1	0	7	11	6	8	0	3	1	1	8	15	9	163620.9	0.0	58354.48	65948.74	0.0	216694.34	216868.16	225740.83	26128.59	0.0	15111.87	24534.459	0.0	32009.152	34926.387	40104.62	
sp|P06744|G6PI_HUMAN	P06744	G6PI_HUMAN	GPI	558	Homo sapiens	1:Experimental evidence at protein level	Glucose-6-phosphate isomerase	1.0	0.999	26	402	283	402	54	26	40	55	12	63	74	78	40	15	25	40	10	47	52	54	54	26	40	55	12	63	74	78	3800258.2	1124566.2	2298206.5	3595029.2	463117.47	4802992.0	5765288.0	6983036.0	446689.72	141206.27	299976.72	418836.84	62490.266	561987.4	659352.5	790156.56	
sp|P06748|NPM_HUMAN	P06748	NPM_HUMAN	NPM1	294	Homo sapiens	1:Experimental evidence at protein level	Nucleophosmin	1.0	0.999	23	347	330	347	52	36	60	29	39	50	39	42	49	34	58	27	37	48	37	40	52	36	60	29	39	50	39	42	5253910.0	2755298.2	5375160.5	2997396.8	3392523.5	6308161.5	4036484.5	4617789.0	759559.3	400528.66	761861.44	439970.97	486464.75	908518.4	580794.8	665169.94	
sp|P06753|TPM3_HUMAN	P06753	TPM3_HUMAN	TPM3	285	Homo sapiens	1:Experimental evidence at protein level	Tropomyosin alpha-3 chain	1.0	0.999	18	50	40	122	5	4	5	8	5	9	8	6	4	3	4	7	3	7	7	5	15	9	11	15	17	17	22	16	391848.16	133614.47	301078.5	342877.25	110491.445	457616.16	515948.9	554784.2	111867.47	38638.137	81152.445	89392.48	30287.896	119567.23	132550.52	147329.22	
sp|P06865|HEXA_HUMAN	P06865	HEXA_HUMAN	HEXA	529	Homo sapiens	1:Experimental evidence at protein level	Beta-hexosaminidase subunit alpha	1.0	0.999	7	13	13	14	4	0	1	0	0	1	4	3	4	0	1	0	0	1	4	3	4	0	1	0	0	1	5	3	70753.82	15806.0625	48964.195	65415.777	0.0	102003.17	99722.83	134004.61	22971.63	6635.9155	13094.315	18900.08	0.0	25898.768	29389.791	30247.98	
sp|P06899|H2B1J_HUMAN	P06899	H2B1J_HUMAN	H2BC11	126	Homo sapiens	1:Experimental evidence at protein level	Histone H2B type 1-J	1.0	0.999	9	30	0	225	1	4	4	4	7	4	2	4	0	0	0	0	0	0	0	0	10	32	43	22	52	27	14	25	57690.695	772461.75	316797.94	404362.06	1240252.1	551934.1	100706.34	399244.38	34825.19	464047.97	195414.31	243013.81	725979.2	333003.28	61184.73	236499.38	sp|P23527|H2B1O_HUMAN, sp|P33778|H2B1B_HUMAN, sp|Q16778|H2B2E_HUMAN
sp|P07099|HYEP_HUMAN	P07099	HYEP_HUMAN	EPHX1	455	Homo sapiens	1:Experimental evidence at protein level	Epoxide hydrolase 1	1.0	0.999	10	37	37	37	6	0	3	6	0	4	11	7	6	0	3	6	0	4	11	7	6	0	3	6	0	4	11	7	162273.47	40533.77	80810.44	151947.94	0.0	180800.27	255949.28	220516.42	39591.3	14545.011	22101.08	35072.848	0.0	42533.52	63085.484	46271.477	
sp|P07108|ACBP_HUMAN	P07108	ACBP_HUMAN	DBI	87	Homo sapiens	1:Experimental evidence at protein level	Acyl-CoA-binding protein	0.9607	0.999	1	5	5	5	1	0	2	0	1	0	0	1	1	0	2	0	1	0	0	1	1	0	2	0	1	0	0	1	31588.7	0.0	15613.895	13983.048	26598.98	0.0	0.0	32396.852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P07195|LDHB_HUMAN	P07195	LDHB_HUMAN	LDHB	334	Homo sapiens	1:Experimental evidence at protein level	L-lactate dehydrogenase B chain	1.0	0.999	16	379	359	379	52	31	40	41	21	61	62	71	49	29	38	38	19	58	60	68	52	31	40	41	21	61	62	71	7620289.5	1884218.0	4043429.8	6720766.5	831864.94	8250101.5	9793315.0	1.0548468E7	1037394.56	324463.28	693262.1	970410.7	133120.72	1235896.0	1496821.2	1774726.6	
sp|P07196|NFL_HUMAN	P07196	NFL_HUMAN	NEFL	543	Homo sapiens	1:Experimental evidence at protein level	Neurofilament light polypeptide	0.9999	0.999	4	12	12	25	3	1	3	1	2	0	2	0	3	1	3	1	2	0	2	0	6	2	5	2	5	1	3	1	232960.52	15105.254	77001.25	31786.148	96751.29	0.0	38109.52	0.0	143966.22	0.0	58540.535	26056.832	73401.78	0.0	30207.871	0.0	
sp|P07197|NFM_HUMAN	P07197	NFM_HUMAN	NEFM	916	Homo sapiens	1:Experimental evidence at protein level	Neurofilament medium polypeptide	1.0	0.999	8	55	51	64	16	4	7	4	9	4	8	3	14	4	6	4	8	4	8	3	17	5	8	5	11	5	9	4	763633.4	125679.12	368534.12	195733.56	449874.97	128819.86	261643.08	157386.53	185755.08	51510.902	99379.55	59521.97	128864.48	44224.035	78850.414	54740.895	
sp|P07237|PDIA1_HUMAN	P07237	PDIA1_HUMAN	P4HB	508	Homo sapiens	1:Experimental evidence at protein level	Protein disulfide-isomerase	1.0	0.999	35	337	337	337	53	28	36	45	21	48	57	49	53	28	36	45	21	48	57	49	53	28	36	45	21	48	57	49	3211974.8	1012753.9	2009631.6	2701182.5	582044.2	3020575.0	4135391.0	3673607.5	198247.33	69424.54	132418.92	174674.12	46694.348	201128.84	267380.8	230155.48	
sp|P07305|H10_HUMAN	P07305	H10_HUMAN	H1-0	194	Homo sapiens	1:Experimental evidence at protein level	Histone H1.0	0.9607	0.999	1	3	3	3	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0.0	30960.018	27787.58	13699.322	34722.348	16556.697	0.0	13121.948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P07311|ACYP1_HUMAN	P07311	ACYP1_HUMAN	ACYP1	99	Homo sapiens	1:Experimental evidence at protein level	Acylphosphatase-1	0.9523	0.9988	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	5444.096	0.0	0.0	5292.269	0.0	12105.222	10707.298	15418.916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	Homo sapiens	1:Experimental evidence at protein level	Cathepsin D	1.0	0.999	15	215	215	215	24	31	23	28	35	25	23	26	24	31	23	28	35	25	23	26	24	31	23	28	35	25	23	26	1379797.2	1138637.4	1298358.6	1694959.8	1346125.1	1191165.5	1468527.0	1247458.5	146210.89	123382.53	144085.38	180007.47	143257.38	135884.31	155864.89	138262.64	
sp|P07355|ANXA2_HUMAN	P07355	ANXA2_HUMAN	ANXA2	339	Homo sapiens	1:Experimental evidence at protein level	Annexin A2	1.0	0.999	28	247	80	247	26	22	37	42	46	19	33	22	10	5	11	13	18	5	9	9	26	22	37	42	46	19	33	22	1067975.6	784854.7	1351781.6	1760884.0	1828220.5	726548.94	1415124.6	1211450.1	95975.055	82240.85	129450.445	152982.6	174206.7	78014.07	126036.48	95754.93	
sp|P07384|CAN1_HUMAN	P07384	CAN1_HUMAN	CAPN1	714	Homo sapiens	1:Experimental evidence at protein level	Calpain-1 catalytic subunit	1.0	0.999	15	58	58	58	7	4	5	9	16	3	9	5	7	4	5	9	16	3	9	5	7	4	5	9	16	3	9	5	415358.3	46533.395	225193.03	339081.16	439738.3	208957.05	338968.38	601008.4	60344.453	30519.334	52762.695	71902.164	88115.1	51547.305	74837.45	76204.57	
sp|P07437|TBB5_HUMAN	P07437	TBB5_HUMAN	TUBB	444	Homo sapiens	1:Experimental evidence at protein level	Tubulin beta chain	1.0	0.999	29	1139	115	1139	166	110	133	149	92	150	161	178	19	12	11	14	10	16	13	20	166	110	133	149	92	150	161	178	2.0245356E7	7358056.5	1.1548971E7	1.5711185E7	6818389.5	2.3511818E7	2.2304726E7	3.2810458E7	1471291.1	571944.2	851057.94	1203394.2	469571.16	1758090.2	1706349.4	2437121.5	
sp|P07476|INVO_HUMAN	P07476	INVO_HUMAN	IVL	585	Homo sapiens	1:Experimental evidence at protein level	Involucrin	1.0	0.999	3	4	4	4	0	0	3	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	3	0	1	0	0	0	0.0	0.0	44590.973	20572.602	23455.725	0.0	0.0	0.0	0.0	0.0	16808.117	12430.899	14143.915	0.0	0.0	0.0	
sp|P07477|TRY1_HUMAN	P07477	TRY1_HUMAN	PRSS1	247	Homo sapiens	1:Experimental evidence at protein level	Serine protease 1	1.0	0.999	3	96	25	139	10	14	10	13	12	16	11	10	2	3	2	3	4	5	4	2	15	19	17	17	16	22	17	16	1402460.5	2430219.0	2578096.0	6722178.5	229617.53	4665846.5	685756.0	1407765.8	1122171.5	1927078.5	1817029.1	8565056.0	208721.77	3309375.0	370146.06	1592430.9	
sp|P07602|SAP_HUMAN	P07602	SAP_HUMAN	PSAP	524	Homo sapiens	1:Experimental evidence at protein level	Prosaposin	1.0	0.999	3	15	15	15	1	0	2	3	1	2	3	3	1	0	2	3	1	2	3	3	1	0	2	3	1	2	3	3	74390.555	23995.342	50527.297	66031.15	34618.9	65344.6	119776.54	117825.17	40688.39	15081.448	29719.541	34305.766	22245.936	35370.24	63380.125	63926.54	
sp|P07686|HEXB_HUMAN	P07686	HEXB_HUMAN	HEXB	556	Homo sapiens	1:Experimental evidence at protein level	Beta-hexosaminidase subunit beta	1.0	0.999	12	49	48	49	8	1	5	6	3	7	12	7	8	1	5	6	3	7	11	7	8	1	5	6	3	7	12	7	712943.56	1082409.4	1575519.5	427328.6	207726.9	1311898.1	396429.66	929269.4	361787.88	152368.08	254550.73	332254.0	232358.17	418317.3	429547.66	432250.5	
sp|P07737|PROF1_HUMAN	P07737	PROF1_HUMAN	PFN1	140	Homo sapiens	1:Experimental evidence at protein level	Profilin-1	1.0	0.999	11	153	106	153	23	12	18	19	8	22	22	29	15	8	14	14	6	16	13	20	23	12	18	19	8	22	22	29	1782492.2	523464.8	1287463.1	1732656.0	332139.12	2595625.8	2417308.5	3848722.5	345182.7	119645.87	271521.44	354548.44	78211.16	528688.75	490448.47	769620.1	
sp|P07741|APT_HUMAN	P07741	APT_HUMAN	APRT	180	Homo sapiens	1:Experimental evidence at protein level	Adenine phosphoribosyltransferase	1.0	0.999	7	49	49	49	10	2	7	5	1	6	10	8	10	2	7	5	1	6	10	8	10	2	7	5	1	6	10	8	287115.88	56229.35	277451.66	280122.56	34804.566	457175.62	430854.53	709180.75	64922.652	17804.867	61156.63	63571.633	13526.266	97775.75	94558.63	150383.78	
sp|P07814|SYEP_HUMAN	P07814	SYEP_HUMAN	EPRS1	1512	Homo sapiens	1:Experimental evidence at protein level	Bifunctional glutamate/proline--tRNA ligase	1.0	0.999	70	731	731	731	116	67	59	84	66	123	102	114	116	67	59	84	66	123	102	114	116	67	59	84	66	123	102	114	6965631.5	2109050.8	2291755.8	3956300.2	2507866.5	8087122.0	5054964.5	8265341.5	364268.75	114036.94	127582.98	211010.0	141524.98	428047.34	264512.16	452621.28	
sp|P07858|CATB_HUMAN	P07858	CATB_HUMAN	CTSB	339	Homo sapiens	1:Experimental evidence at protein level	Cathepsin B	1.0	0.999	6	25	25	25	4	1	3	3	1	4	9	0	4	1	3	3	1	4	9	0	4	1	3	3	1	4	9	0	154328.6	58676.477	125974.94	137451.72	43009.367	134385.73	198338.28	97638.414	39137.22	26997.346	34770.81	40110.867	23300.451	36882.242	51481.082	35457.082	
sp|P07900|HS90A_HUMAN	P07900	HS90A_HUMAN	HSP90AA1	732	Homo sapiens	1:Experimental evidence at protein level	Heat shock protein HSP 90-alpha	1.0	0.999	57	1298	661	1338	181	106	148	163	95	190	201	214	95	47	70	84	47	96	109	113	185	109	152	168	97	198	208	221	2.8049248E7	6721650.5	1.2547116E7	1.6999608E7	5956726.0	2.9004392E7	2.670632E7	3.5312072E7	2074235.9	544484.4	991509.0	1320772.0	484241.38	2138115.8	2066980.5	2727301.5	
sp|P07910|HNRPC_HUMAN	P07910	HNRPC_HUMAN	HNRNPC	306	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoproteins C1/C2	1.0	0.999	19	309	193	309	37	49	41	34	44	43	35	26	20	31	25	22	28	28	23	16	37	49	41	34	44	43	35	26	2752489.0	4012943.5	3675296.5	2836294.5	4189731.2	3962387.8	2423055.5	2314659.8	408080.28	560998.4	543246.2	421121.47	594028.2	579138.44	357529.97	343886.16	
sp|P07919|QCR6_HUMAN	P07919	QCR6_HUMAN	UQCRH	91	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b-c1 complex subunit 6, mitochondrial	0.9999	0.999	2	16	9	16	4	0	3	2	1	3	1	2	1	0	2	2	1	1	1	1	4	0	3	2	1	3	1	2	80584.375	15061.777	68274.93	52161.17	41694.637	96768.78	68286.234	116894.86	50682.727	0.0	40899.777	34009.754	25698.61	65259.797	45871.137	79528.61	
sp|P07942|LAMB1_HUMAN	P07942	LAMB1_HUMAN	LAMB1	1786	Homo sapiens	1:Experimental evidence at protein level	Laminin subunit beta-1	1.0	0.999	6	15	15	15	2	0	0	0	0	8	1	4	2	0	0	0	0	8	1	4	2	0	0	0	0	8	1	4	66016.22	0.0	21250.6	35487.477	2535.6448	127145.29	60388.562	137941.77	19060.877	0.0	12022.028	15774.573	0.0	32315.479	24451.05	33592.215	
sp|P07951|TPM2_HUMAN	P07951	TPM2_HUMAN	TPM2	284	Homo sapiens	1:Experimental evidence at protein level	Tropomyosin beta chain	0.9999	0.999	13	1	0	68	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	4	6	6	12	7	15	8	0.0	0.0	0.0	0.0	26556.512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|contam_Q5KR48|TPM2_BOVIN
sp|P07954|FUMH_HUMAN	P07954	FUMH_HUMAN	FH	510	Homo sapiens	1:Experimental evidence at protein level	Fumarate hydratase, mitochondrial	1.0	0.999	11	64	64	64	10	0	8	9	1	11	13	12	10	0	8	9	1	11	13	12	10	0	8	9	1	11	13	12	418364.38	59537.008	421050.4	339100.12	54435.13	467191.47	500110.75	526059.0	77348.805	29494.492	63180.195	67783.83	28901.865	96563.02	100384.64	107967.695	
sp|P08123|CO1A2_HUMAN	P08123	CO1A2_HUMAN	COL1A2	1366	Homo sapiens	1:Experimental evidence at protein level	Collagen alpha-2(I) chain	0.996	0.999	2	8	8	8	0	0	0	0	0	7	0	1	0	0	0	0	0	7	0	1	0	0	0	0	0	7	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10922.483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P08133|ANXA6_HUMAN	P08133	ANXA6_HUMAN	ANXA6	673	Homo sapiens	1:Experimental evidence at protein level	Annexin A6	1.0	0.999	24	66	66	66	26	1	3	0	0	28	2	6	26	1	3	0	0	28	2	6	26	1	3	0	0	28	2	6	673490.7	79865.76	106890.0	241947.34	60813.99	766660.7	215846.88	431327.16	115317.75	31334.346	39504.543	33621.297	0.0	143518.19	36840.38	71189.48	
sp|P08195|4F2_HUMAN	P08195	4F2_HUMAN	SLC3A2	529	Homo sapiens	1:Experimental evidence at protein level	Amino acid transporter heavy chain SLC3A2	1.0	0.999	13	48	48	48	10	1	5	5	0	6	14	7	10	1	5	5	0	6	14	7	10	1	5	5	0	6	14	7	322277.12	45379.14	190644.12	234299.36	15981.686	263290.53	413905.9	263866.66	44349.99	11734.24	25917.367	38731.56	8563.205	39862.574	57530.88	40528.61	
sp|P08237|PFKAM_HUMAN	P08237	PFKAM_HUMAN	PFKM	780	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent 6-phosphofructokinase, muscle type	1.0	0.999	18	77	76	95	14	1	8	8	0	11	17	18	14	1	8	8	0	11	17	17	15	2	11	11	1	13	20	22	348323.9	61820.695	155882.17	305344.34	22803.26	414148.94	511182.88	585255.06	39331.24	13980.734	24420.336	31567.96	0.0	45519.4	52239.152	59935.566	
sp|P08238|HS90B_HUMAN	P08238	HS90B_HUMAN	HSP90AB1	724	Homo sapiens	1:Experimental evidence at protein level	Heat shock protein HSP 90-beta	1.0	0.999	57	768	448	1217	112	63	81	96	49	127	108	132	72	36	44	56	31	68	66	75	176	103	134	152	81	197	172	202	1.1541665E7	2951181.8	5207424.5	7738209.5	2222258.8	1.6018081E7	1.1463852E7	2.019495E7	1001096.7	266544.84	501000.16	675708.2	215525.36	1388047.5	1015604.2	1823875.4	
sp|P08240|SRPRA_HUMAN	P08240	SRPRA_HUMAN	SRPRA	638	Homo sapiens	1:Experimental evidence at protein level	Signal recognition particle receptor subunit alpha	1.0	0.999	6	12	12	12	1	0	2	2	0	3	1	3	1	0	2	2	0	3	1	3	1	0	2	2	0	3	1	3	97075.36	0.0	58616.176	61574.68	0.0	123697.65	113975.35	163693.02	24703.248	0.0	16279.516	21576.285	0.0	31218.795	31519.533	40329.97	
sp|P08243|ASNS_HUMAN	P08243	ASNS_HUMAN	ASNS	561	Homo sapiens	1:Experimental evidence at protein level	Asparagine synthetase [glutamine-hydrolyzing]	1.0	0.999	22	119	119	119	19	7	11	16	1	21	23	21	19	7	11	16	1	21	23	21	19	7	11	16	1	21	23	21	869470.25	2149646.5	896090.25	872043.1	260090.81	4187291.2	1219147.4	2576506.8	460150.25	187840.45	326484.84	518850.5	110975.195	619944.94	727948.5	657848.56	
sp|P08246|ELNE_HUMAN	P08246	ELNE_HUMAN	ELANE	267	Homo sapiens	1:Experimental evidence at protein level	Neutrophil elastase	0.9605	0.999	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	12762.273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P08311|CATG_HUMAN	P08311	CATG_HUMAN	CTSG	255	Homo sapiens	1:Experimental evidence at protein level	Cathepsin G	0.9587	0.9989	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	8396.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P08559|ODPA_HUMAN	P08559	ODPA_HUMAN	PDHA1	390	Homo sapiens	1:Experimental evidence at protein level	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	1.0	0.999	21	169	143	169	31	11	9	19	14	33	25	27	27	8	7	16	13	26	21	25	31	11	9	19	14	33	25	27	1514328.2	391406.2	421335.47	831704.6	639912.4	1707327.9	1088720.4	1433056.9	237776.89	66284.24	76133.64	138615.08	99152.0	269464.6	170346.4	234900.97	
sp|P08574|CY1_HUMAN	P08574	CY1_HUMAN	CYC1	325	Homo sapiens	1:Experimental evidence at protein level	Cytochrome c1, heme protein, mitochondrial	1.0	0.999	7	29	29	29	1	0	6	4	1	6	4	7	1	0	6	4	1	6	4	7	1	0	6	4	1	6	4	7	167034.72	39725.125	161640.62	99643.016	78977.15	261013.0	196516.75	237548.05	33772.74	15020.783	40278.21	26723.79	17801.645	56279.777	46701.64	52331.574	
sp|P08579|RU2B_HUMAN	P08579	RU2B_HUMAN	SNRPB2	225	Homo sapiens	1:Experimental evidence at protein level	U2 small nuclear ribonucleoprotein B''	1.0	0.999	10	88	64	88	17	9	9	8	11	13	11	10	14	5	7	6	6	10	9	7	17	9	9	8	11	13	11	10	642744.94	229015.83	268090.0	334656.62	318246.94	783016.2	427267.62	490144.38	117538.49	47103.906	56038.875	62514.92	65329.38	149627.6	81638.6	97467.8	
sp|P08621|RU17_HUMAN	P08621	RU17_HUMAN	SNRNP70	437	Homo sapiens	1:Experimental evidence at protein level	U1 small nuclear ribonucleoprotein 70 kDa	1.0	0.999	19	158	158	158	25	14	17	16	23	33	14	16	25	14	17	16	23	33	14	16	25	14	17	16	23	33	14	16	968837.6	564332.94	564166.25	577501.2	827877.06	1221219.4	605196.25	729912.7	100377.22	59450.426	57686.008	61574.016	84264.2	122792.46	66396.93	78625.14	
sp|P08670|VIME_HUMAN	P08670	VIME_HUMAN	VIM	466	Homo sapiens	1:Experimental evidence at protein level	Vimentin	1.0	0.999	39	331	269	343	34	38	43	35	41	48	45	47	25	32	34	29	35	41	35	38	35	39	45	37	43	50	46	48	1901907.6	1484127.6	1483252.9	1561044.6	1799387.8	2433045.8	1786266.1	2494091.5	194610.25	164743.95	173804.83	147775.38	162387.06	240907.81	203518.73	292997.84	
sp|P08708|RS17_HUMAN	P08708	RS17_HUMAN	RPS17	135	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein eS17	1.0	0.999	11	365	365	365	59	40	33	48	48	42	49	46	59	40	33	48	48	42	49	46	59	40	33	48	48	42	49	46	8119493.0	2840752.5	1771670.0	4693020.5	4411896.5	6824373.5	4724380.0	6372640.0	1544420.8	557540.7	368741.56	922594.06	863702.0	1287334.0	920546.1	1205120.9	
sp|P08727|K1C19_HUMAN	P08727	K1C19_HUMAN	KRT19	400	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 19	1.0	0.999	27	37	0	294	5	1	1	1	0	5	10	14	0	0	0	0	0	0	0	0	30	26	46	44	38	23	46	41	230626.5	49545.695	91373.17	142070.53	59169.242	222941.64	313067.9	532462.1	42020.145	21426.287	30242.957	28141.125	17596.418	39895.96	57846.363	92862.34	sp|contam_P08727|K1C19_HUMAN
sp|P08754|GNAI3_HUMAN	P08754	GNAI3_HUMAN	GNAI3	354	Homo sapiens	1:Experimental evidence at protein level	Guanine nucleotide-binding protein G(i) subunit alpha-3	1.0	0.999	5	12	2	19	6	0	1	1	0	2	2	0	1	0	0	0	0	1	0	0	7	1	2	2	0	3	3	1	84362.945	6759.786	35398.332	37424.5	4472.4897	55401.152	77028.92	14256.545	30711.406	0.0	21146.107	22865.434	0.0	34199.367	36674.78	0.0	
sp|P08758|ANXA5_HUMAN	P08758	ANXA5_HUMAN	ANXA5	320	Homo sapiens	1:Experimental evidence at protein level	Annexin A5	1.0	0.999	15	95	95	95	9	7	13	11	1	13	19	22	9	7	13	11	1	13	19	22	9	7	13	11	1	13	19	22	300777.78	199528.9	386825.8	367436.12	71782.3	588781.7	649195.4	1024799.7	43767.08	32304.848	60749.477	52897.96	16780.383	84390.7	81773.695	134883.14	
sp|P08779|K1C16_HUMAN	P08779	K1C16_HUMAN	KRT16	473	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 16	1.0	0.999	59	337	0	806	48	23	49	36	103	6	50	22	0	0	0	0	0	0	0	0	102	76	120	118	179	35	108	68	2946725.0	1059465.5	2845076.0	2759872.0	1.3301242E7	540068.5	3562760.0	1595963.2	510629.06	185734.12	557852.0	425588.47	1180039.9	119562.4	568247.9	246653.4	sp|contam_P08779|K1C16_HUMAN
sp|P08865|RSSA_HUMAN	P08865	RSSA_HUMAN	RPSA	295	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS2	1.0	0.999	17	355	53	355	52	31	27	35	56	56	33	65	7	4	4	4	8	7	7	12	52	31	27	35	56	56	33	65	6890290.5	2148117.5	2551676.0	3368575.5	7783113.0	8349006.5	2713787.8	1.0886615E7	947222.6	286398.62	355537.88	454070.75	1000866.3	1131554.2	372440.8	1463384.1	
sp|P08922|ROS1_HUMAN	P08922	ROS1_HUMAN	ROS1	2347	Homo sapiens	1:Experimental evidence at protein level	Proto-oncogene tyrosine-protein kinase ROS	0.878	0.9966	2	1	1	7	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	1	1	1	22034.549	0.0	17451.09	27417.059	39864.25	0.0	46643.207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P08962|CD63_HUMAN	P08962	CD63_HUMAN	CD63	238	Homo sapiens	1:Experimental evidence at protein level	CD63 antigen	0.9606	0.999	1	6	6	6	0	0	0	2	0	1	1	2	0	0	0	2	0	1	1	2	0	0	0	2	0	1	1	2	0.0	17373.68	34688.71	54788.227	0.0	40008.332	68044.945	34314.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
